maj_frac,maj_count,gmm_ratio,n_generated,density_pct,val_f1,best_threshold,test_precision,test_recall,test_f1,clf
0.25,45490,0.05,1959,5.0,0.8163265306122449,0.8175454545454546,0.82,0.8367346938775511,0.8282828282828283,"LogisticRegression(C=0.01, max_iter=5000, random_state=42, solver='liblinear')"
0.1,18196,0.1,1504,,0.8108108108108109,0.8427474747474748,0.82,0.8367346938775511,0.8282828282828283,"LogisticRegression(C=0.01, max_iter=5000, random_state=42, solver='liblinear')"
0.1,18196,0.1,1504,10.0,0.8108108108108109,0.8427474747474748,0.82,0.8367346938775511,0.8282828282828283,"LogisticRegression(C=0.01, max_iter=5000, random_state=42, solver='liblinear')"
0.25,45490,0.05,1959,10.0,0.8108108108108109,0.8074646464646464,0.82,0.8367346938775511,0.8282828282828283,"LogisticRegression(C=0.01, max_iter=5000, random_state=42, solver='liblinear')"
0.1,18196,0.1,1504,5.0,0.8108108108108109,0.8427474747474748,0.82,0.8367346938775511,0.8282828282828283,"LogisticRegression(C=0.01, max_iter=5000, random_state=42, solver='liblinear')"
0.5,90980,0.1,8783,5.0,0.8053691275167785,0.9838787878787879,0.8118811881188119,0.8367346938775511,0.8241206030150754,"LogisticRegression(C=0.1, max_iter=5000, random_state=42, solver='liblinear')"
0.25,45490,0.1,4234,10.0,0.8082191780821918,0.9737979797979798,0.8247422680412371,0.8163265306122449,0.8205128205128205,"LogisticRegression(C=0.01, max_iter=5000, random_state=42, solver='liblinear')"
0.5,90980,0.05,4234,,0.8187919463087249,0.9233939393939394,0.803921568627451,0.8367346938775511,0.82,"LogisticRegression(C=0.1, max_iter=5000, random_state=42, solver='liblinear')"
0.5,90980,0.1,8783,10.0,0.8079470198675497,0.9637171717171717,0.803921568627451,0.8367346938775511,0.82,"LogisticRegression(C=0.1, max_iter=5000, random_state=42, solver='liblinear')"
0.5,90980,0.1,8783,,0.8079470198675497,0.9536363636363636,0.803921568627451,0.8367346938775511,0.82,"LogisticRegression(C=0.1, max_iter=5000, random_state=42, solver='liblinear')"
0.5,90980,0.05,4234,10.0,0.8187919463087249,0.9385151515151515,0.803921568627451,0.8367346938775511,0.82,"LogisticRegression(C=0.1, max_iter=5000, random_state=42, solver='liblinear')"
0.25,45490,0.1,4234,,0.8108108108108109,0.9385151515151515,0.8163265306122449,0.8163265306122449,0.8163265306122449,"LogisticRegression(C=0.01, max_iter=5000, random_state=42, solver='liblinear')"
0.25,45490,0.1,4234,5.0,0.8108108108108109,0.9385151515151515,0.8163265306122449,0.8163265306122449,0.8163265306122449,"LogisticRegression(C=0.01, max_iter=5000, random_state=42, solver='liblinear')"
0.5,90980,0.05,4234,5.0,0.8187919463087249,0.9385151515151515,0.7961165048543689,0.8367346938775511,0.8159203980099502,"LogisticRegression(C=1, max_iter=5000, random_state=42, solver='liblinear')"
0.25,45490,0.05,1959,,0.8181818181818182,0.7621010101010101,0.7454545454545455,0.8367346938775511,0.7884615384615384,"LogisticRegression(C=0.1, max_iter=5000, random_state=42, solver='liblinear')"
0.05,9098,0.1,594,5.0,0.8104575163398693,0.6814545454545454,0.7345132743362832,0.8469387755102041,0.7867298578199052,"LogisticRegression(C=0.1, max_iter=5000, random_state=42, solver='liblinear')"
0.05,9098,0.1,594,,0.8181818181818182,0.6764141414141415,0.7345132743362832,0.8469387755102041,0.7867298578199052,"LogisticRegression(C=0.1, max_iter=5000, random_state=42, solver='liblinear')"
0.1,18196,0.05,594,5.0,0.8026315789473685,0.620969696969697,0.7345132743362832,0.8469387755102041,0.7867298578199052,"LogisticRegression(C=1, max_iter=5000, random_state=42, solver='liblinear')"
0.25,45490,0.01,139,5.0,0.8104575163398693,0.2378989898989899,0.7321428571428571,0.8367346938775511,0.780952380952381,"LogisticRegression(C=0.1, max_iter=5000, random_state=42, solver='liblinear')"
0.05,9098,0.1,594,10.0,0.8181818181818182,0.7016161616161616,0.7321428571428571,0.8367346938775511,0.780952380952381,"LogisticRegression(C=0.1, max_iter=5000, random_state=42, solver='liblinear')"
0.5,90980,0.01,594,5.0,0.8129032258064516,0.3135050505050505,0.7155172413793104,0.8469387755102041,0.7757009345794392,"LogisticRegression(C=1, max_iter=5000, random_state=42, solver='liblinear')"
0.1,18196,0.05,594,,0.8026315789473685,0.626010101010101,0.7297297297297297,0.826530612244898,0.7751196172248804,"LogisticRegression(C=10, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')"
0.05,9098,0.005,0,5.0,0.8079470198675497,0.3991919191919192,0.7452830188679245,0.8061224489795918,0.7745098039215687,"LogisticRegression(C=0.01, max_iter=5000, random_state=42, solver='liblinear')"
0.05,9098,0.01,0,10.0,0.8079470198675497,0.3991919191919192,0.7452830188679245,0.8061224489795918,0.7745098039215687,"LogisticRegression(C=0.01, max_iter=5000, random_state=42, solver='liblinear')"
0.05,9098,0.005,0,10.0,0.8079470198675497,0.3991919191919192,0.7452830188679245,0.8061224489795918,0.7745098039215687,"LogisticRegression(C=0.01, max_iter=5000, random_state=42, solver='liblinear')"
0.1,18196,0.05,594,10.0,0.8181818181818182,0.5907272727272728,0.7192982456140351,0.8367346938775511,0.7735849056603774,"LogisticRegression(C=0.1, max_iter=5000, random_state=42, solver='liblinear')"
0.5,90980,0.01,594,10.0,0.8129032258064516,0.3487878787878788,0.7192982456140351,0.8367346938775511,0.7735849056603774,"LogisticRegression(C=10, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')"
0.5,90980,0.01,594,,0.8129032258064516,0.2731818181818182,0.7192982456140351,0.8367346938775511,0.7735849056603774,"LogisticRegression(C=0.1, max_iter=5000, random_state=42, solver='liblinear')"
0.1,18196,0.01,0,,0.8,0.2378989898989899,0.7232142857142857,0.826530612244898,0.7714285714285715,"LogisticRegression(C=0.01, max_iter=5000, random_state=42, solver='liblinear')"
0.05,9098,0.05,139,5.0,0.8157894736842105,0.4848787878787879,0.7247706422018348,0.8061224489795918,0.7632850241545893,"LogisticRegression(C=0.01, max_iter=5000, random_state=42, solver='liblinear')"
0.1,18196,0.005,0,,0.8076923076923077,0.2278181818181818,0.7043478260869566,0.826530612244898,0.7605633802816901,"LogisticRegression(C=0.1, max_iter=5000, random_state=42, solver='liblinear')"
0.5,90980,0.005,139,10.0,0.7894736842105263,0.2026161616161616,0.7181818181818181,0.8061224489795918,0.7596153846153846,"LogisticRegression(C=1, max_iter=5000, random_state=42, solver='liblinear')"
0.05,9098,0.01,0,5.0,0.759493670886076,0.3588686868686869,0.7117117117117117,0.8061224489795918,0.7559808612440191,"LogisticRegression(C=1, max_iter=5000, random_state=42, solver='liblinear')"
0.05,9098,0.005,0,,0.7692307692307693,0.38407070707070706,0.7264150943396226,0.7857142857142857,0.7549019607843137,"LogisticRegression(C=1, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')"
0.25,45490,0.01,139,10.0,0.7785234899328859,0.30342424242424243,0.7264150943396226,0.7857142857142857,0.7549019607843137,"LogisticRegression(C=10, max_iter=5000, penalty='l1', random_state=42,
                   solver='liblinear')"
0.05,9098,0.01,0,,0.8,0.32862626262626266,0.7017543859649122,0.8163265306122449,0.7547169811320755,"LogisticRegression(C=0.1, max_iter=5000, random_state=42, solver='liblinear')"
